"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","Qualifier","i","LogQ","Q7","Q30"
1940-08-01,0.481386388267515,33084,8,214,1940.58276411658,1088,1940,"A",1,-0.731085029339286,NA,NA
1940-08-02,0.481386388267515,33085,8,215,1940.58549635701,1088,1940,"A",2,-0.731085029339286,NA,NA
1940-08-03,0.453069541898838,33086,8,216,1940.58822859745,1088,1940,"A",3,-0.791709651155721,NA,NA
1940-08-04,0.566336927373547,33087,8,217,1940.59096083789,1088,1940,"A",4,-0.568566099841511,NA,NA
1940-08-05,0.707921159216934,33088,8,218,1940.59369307832,1088,1940,"A",5,-0.345422548527302,NA,NA
1940-08-06,0.622970620110902,33089,8,219,1940.59642531876,1088,1940,"A",6,-0.473255920037187,NA,NA
1940-08-07,1.27425808659048,33090,8,220,1940.5991575592,1088,1940,"A",7,0.242364116374817,0.655332730246533,NA
1940-08-08,2.91663517597377,33091,8,221,1940.60188979964,1088,1940,"A",8,1.07043061483413,1.00322541420457,NA
1940-08-09,4.38911118714499,33092,8,222,1940.60462204007,1088,1940,"A",9,1.47912674352374,1.56147181404421,NA
1940-08-10,4.89881442178118,33093,8,223,1940.60735428051,1088,1940,"A",10,1.58899322110228,2.19657822545597,NA
1940-08-11,3.96435849161483,33094,8,224,1940.61008652095,1088,1940,"A",11,1.3773440492138,2.68200987749044,NA
1940-08-12,3.8794079525088,33095,8,225,1940.61281876138,1088,1940,"A",12,1.35568255243262,3.13507941938928,NA
1940-08-13,3.85109110614012,33096,8,226,1940.61555100182,1088,1940,"A",13,1.34835651234055,3.59623948882202,NA
1940-08-14,2.91663517597377,33097,8,227,1940.61828324226,1088,1940,"A",14,1.07043061483413,3.83086478730535,NA
1940-08-15,3.85109110614012,33098,8,228,1940.6210154827,1088,1940,"A",15,1.34835651234055,3.96435849161483,NA
1940-08-16,6.22970620110902,33099,8,229,1940.62374772313,1088,1940,"A",16,1.82932917295686,4.22730063646683,NA
1940-08-17,9.06139083797675,33100,8,230,1940.62647996357,1088,1940,"A",17,2.20402262239827,4.82195441020906,NA
1940-08-18,12.459412402218,33101,8,231,1940.62921220401,1088,1940,"A",18,2.5224763535168,6.03553354029523,NA
1940-08-19,16.9901078212064,33102,8,232,1940.63194444444,1088,1940,"A",19,2.83263128182064,7.90849066439489,NA
1940-08-20,24.0693194133758,33103,8,233,1940.63467668488,1088,1940,"A",20,3.18093797608886,10.796808994,NA
