"agency_cd","site_no","Date","X_00065_00003","X_00065_00003_cd"
"USGS","02108000",1996-01-04,3.87,"A"
"USGS","02108000",1996-01-05,3.8,"A"
"USGS","02108000",1996-01-06,3.7,"A"
"USGS","02108000",1996-01-07,3.91,"A"
"USGS","02108000",1996-01-08,4.79,"A"
"USGS","02108000",1996-01-09,5.17,"A"
"USGS","02108000",1996-01-10,5.24,"A"
"USGS","02108000",1996-01-11,5.12,"A"
"USGS","02108000",1996-01-12,5.11,"A"
"USGS","02108000",1996-01-13,5.29,"A"
"USGS","02108000",1996-06-27,3.63,"A"
"USGS","02108000",1996-06-28,3.28,"A"
"USGS","02108000",1996-06-29,2.95,"A"
"USGS","02108000",1996-06-30,3.03,"A"
"USGS","02108000",1996-07-01,3.32,"A"
"USGS","02108000",1996-07-02,2.92,"A"
"USGS","02108000",1996-07-03,3.97,"A"
"USGS","02108000",1996-07-04,4.72,"A"
"USGS","02108000",1996-07-05,3.83,"A"
"USGS","02108000",1996-07-06,3.05,"A"
"USGS","02108000",1996-07-07,2.57,"A"
"USGS","02108000",1996-07-08,2.3,"A"
"USGS","02108000",1996-07-09,2.08,"A"
"USGS","02108000",1996-07-10,2.04,"A"
"USGS","02108000",1996-07-11,4.2,"A"
"USGS","02108000",1996-07-12,5.68,"A"
"USGS","02108000",1996-07-13,8.84,"A"
"USGS","02108000",1996-07-14,10.65,"A"
"USGS","02108000",1996-07-15,11.84,"A"
"USGS","02108000",1996-07-16,12.23,"A"
"USGS","02108000",1996-07-17,12.07,"A"
"USGS","02108000",1996-07-18,11.36,"A"
"USGS","02108000",1996-07-19,10.34,"A"
"USGS","02108000",1996-07-20,9.25,"A"
"USGS","02108000",1996-07-21,8.13,"A"
"USGS","02108000",1996-07-22,6.84,"A"
"USGS","02108000",1996-07-23,5.7,"A"
"USGS","02108000",1996-07-24,5.61,"A"
"USGS","02108000",1996-07-25,5.84,"A"
"USGS","02108000",1996-07-26,7.08,"A"
"USGS","02108000",1996-07-27,7.66,"A"
"USGS","02108000",1996-07-28,7.64,"A"
"USGS","02108000",1996-07-29,7.25,"A"
"USGS","02108000",1996-07-30,7.01,"A"
"USGS","02108000",1996-07-31,6.97,"A"
"USGS","02108000",1996-08-01,6.96,"A"
"USGS","02108000",1996-08-02,6.83,"A"
"USGS","02108000",1996-08-03,6.48,"A"
"USGS","02108000",1996-08-04,7.01,"A"
"USGS","02108000",1996-08-05,7.32,"A"
"USGS","02108000",1996-08-06,7.36,"A"
"USGS","02108000",1996-08-07,7.69,"A"
"USGS","02108000",1996-08-08,8.11,"A"
"USGS","02108000",1996-08-09,7.79,"A"
"USGS","02108000",1996-08-10,6.87,"A"
"USGS","02108000",1996-08-11,5.97,"A"
"USGS","02108000",1996-08-12,5.19,"A"
"USGS","02108000",1996-08-13,5,"A"
"USGS","02108000",1996-08-14,5.36,"A"
"USGS","02108000",1996-08-15,6.45,"A"
"USGS","02108000",1996-08-16,6.79,"A"
"USGS","02108000",1996-08-17,6.34,"A"
"USGS","02108000",1996-08-18,6.26,"A"
"USGS","02108000",1996-08-19,6.36,"A"
"USGS","02108000",1996-08-20,5.99,"A"
"USGS","02108000",1996-08-21,5.15,"A"
"USGS","02108000",1996-08-22,4.6,"A"
"USGS","02108000",1996-08-23,4.07,"A"
"USGS","02108000",1996-08-24,3.6,"A"
"USGS","02108000",1996-08-25,3.26,"A"
"USGS","02108000",1996-08-26,3.12,"A"
"USGS","02108000",1996-08-27,2.97,"A"
"USGS","02108000",1996-08-28,2.87,"A"
"USGS","02108000",1996-08-29,3.18,"A"
"USGS","02108000",1996-08-30,4.5,"A"
"USGS","02108000",1996-08-31,4.98,"A"
"USGS","02108000",1996-09-01,4.33,"A"
"USGS","02108000",1996-09-02,3.57,"A"
"USGS","02108000",1996-09-03,3.09,"A"
"USGS","02108000",1996-09-04,3.2,"A"
"USGS","02108000",1996-09-05,3.89,"A"
"USGS","02108000",1996-09-06,11.05,"A"
"USGS","02108000",1996-09-07,14.84,"A"
"USGS","02108000",1996-09-08,16.14,"A"
"USGS","02108000",1996-09-09,16.18,"A"
"USGS","02108000",1996-09-10,15.93,"A"
"USGS","02108000",1996-09-13,16,"A"
"USGS","02108000",1996-09-14,15.83,"A"
"USGS","02108000",1996-09-21,12.04,"A"
"USGS","02108000",1996-09-22,11.6,"A"
"USGS","02108000",1996-09-23,11.72,"A"
"USGS","02108000",1996-09-24,11.82,"A"
"USGS","02108000",1996-09-25,11.6,"A"
"USGS","02108000",1996-09-26,11.15,"A"
"USGS","02108000",1996-09-27,10.55,"A"
"USGS","02108000",1996-09-29,9.09,"A"
"USGS","02108000",1996-09-30,8.5,"A"
"USGS","02108000",1996-10-03,7.68,"A"
"USGS","02108000",1996-10-06,7.1,"A"
"USGS","02108000",1996-10-07,6.87,"A"
"USGS","02108000",1996-10-09,12.99,"A"
"USGS","02108000",1996-10-10,14.96,"A"
"USGS","02108000",1996-10-11,15.39,"A"
"USGS","02108000",1996-10-12,15.21,"A"
"USGS","02108000",1996-10-13,14.72,"A"
"USGS","02108000",1996-10-14,14.1,"A"
"USGS","02108000",1996-10-15,13.39,"A"
"USGS","02108000",1996-10-22,8.1,"A"
"USGS","02108000",1996-10-23,7.82,"A"
"USGS","02108000",1996-10-24,7.61,"A"
"USGS","02108000",1996-10-25,7.37,"A"
"USGS","02108000",1996-10-26,7.07,"A"
"USGS","02108000",1996-10-27,6.73,"A"
"USGS","02108000",1996-10-28,6.43,"A"
"USGS","02108000",1996-10-29,6.16,"A"
"USGS","02108000",1996-10-30,5.93,"A"
"USGS","02108000",1996-10-31,5.71,"A"
"USGS","02108000",1996-11-01,5.49,"A"
"USGS","02108000",1996-11-02,5.32,"A"
"USGS","02108000",1996-11-03,5.24,"A"
"USGS","02108000",1996-11-04,5.18,"A"
"USGS","02108000",1996-11-05,5.18,"A"
"USGS","02108000",1996-11-06,5.37,"A"
"USGS","02108000",1996-11-07,5.77,"A"
"USGS","02108000",1996-11-08,6.22,"A"
"USGS","02108000",1996-11-09,6.78,"A"
"USGS","02108000",1996-11-10,7.11,"A"
"USGS","02108000",1996-11-11,7.16,"A"
"USGS","02108000",1996-11-12,7,"A"
"USGS","02108000",1996-11-13,6.74,"A"
"USGS","02108000",1996-11-14,6.43,"A"
"USGS","02108000",1996-11-15,6.1,"A"
"USGS","02108000",1996-11-16,5.79,"A"
"USGS","02108000",1996-11-17,5.57,"A"
"USGS","02108000",1996-11-18,5.44,"A"
"USGS","02108000",1996-11-19,5.44,"A"
"USGS","02108000",1996-11-20,5.48,"A"
"USGS","02108000",1996-11-21,5.46,"A"
"USGS","02108000",1996-11-22,6.15,"A"
"USGS","02108000",1996-11-23,6.86,"A"
"USGS","02108000",1996-11-24,7.13,"A"
"USGS","02108000",1996-11-25,7.21,"A"
"USGS","02108000",1996-11-26,7.3,"A"
"USGS","02108000",1996-11-27,7.29,"A"
"USGS","02108000",1996-11-28,7.14,"A"
"USGS","02108000",1996-11-29,6.92,"A"
"USGS","02108000",1996-11-30,6.64,"A"
"USGS","02108000",1996-12-01,6.49,"A"
"USGS","02108000",1996-12-02,7.25,"A"
"USGS","02108000",1996-12-03,7.67,"A"
"USGS","02108000",1996-12-04,7.75,"A"
"USGS","02108000",1996-12-05,7.67,"A"
"USGS","02108000",1996-12-06,7.83,"A"
"USGS","02108000",1996-12-07,8.15,"A"
"USGS","02108000",1996-12-08,8.92,"A"
"USGS","02108000",1996-12-09,9.57,"A"
"USGS","02108000",1996-12-10,9.88,"A"
"USGS","02108000",1996-12-11,9.83,"A"
"USGS","02108000",1996-12-12,9.58,"A"
"USGS","02108000",1996-12-13,9.17,"A"
"USGS","02108000",1996-12-14,8.67,"A"
"USGS","02108000",1996-12-15,8.17,"A"
"USGS","02108000",1996-12-16,7.74,"A"
"USGS","02108000",1996-12-17,7.37,"A"
"USGS","02108000",1996-12-18,7.05,"A"
"USGS","02108000",1996-12-19,7.08,"A"
"USGS","02108000",1996-12-20,7.74,"A"
"USGS","02108000",1996-12-21,8.12,"A"
"USGS","02108000",1996-12-22,8.28,"A"
"USGS","02108000",1996-12-23,8.36,"A"
"USGS","02108000",1996-12-24,8.35,"A"
"USGS","02108000",1996-12-25,8.19,"A"
"USGS","02108000",1996-12-26,7.98,"A"
"USGS","02108000",1996-12-27,7.79,"A"
"USGS","02108000",1996-12-28,7.59,"A"
"USGS","02108000",1996-12-29,7.34,"A"
