"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","Qualifier","i","LogQ","Q7","Q30"
1970-06-26,2.05738373149868,44005,6,178,1970.48299086758,1446,1970,"A",1,0.72143514237269,NA,NA
1970-06-28,5.14391998568451,44007,6,180,1970.48847031963,1446,1970,"A",2,1.63781543193186,NA,NA
1970-06-29,2.85025542982164,44008,6,181,1970.49121004566,1446,1970,"A",3,1.04740861476335,NA,NA
1970-06-30,1.94411634602397,44009,6,182,1970.49394977169,1446,1970,"A",4,0.664807553025142,NA,NA
1970-07-01,2.31223534881677,44010,7,183,1970.49668949772,1447,1970,"A",5,0.838214740100349,NA,NA
1970-07-02,2.36886904155413,44011,7,184,1970.49942922374,1447,1970,"A",6,0.862412643595518,NA,NA
1970-07-03,2.39718588792281,44012,7,185,1970.50216894977,1447,1970,"A",7,0.874295502684351,2.72485225304607,NA
1970-07-04,3.13342389350842,44013,7,186,1970.5049086758,1447,1970,"A",8,1.14212630237373,2.87857227619032,NA
1970-07-05,5.68194006668938,44014,7,187,1970.50764840183,1447,1970,"A",9,1.73729273545123,2.95543228776245,NA
1970-07-06,3.72807766725064,44015,7,188,1970.51038812785,1447,1970,"A",10,1.31589273009631,3.08083546453802,NA
1970-07-07,2.34055219518545,44016,7,189,1970.51312785388,1447,1970,"A",11,0.850386882378993,3.13746915727537,NA
1970-07-08,2.19896796334206,44017,7,190,1970.51586757991,1447,1970,"A",12,0.787988142727101,3.12128810220756,NA
1970-07-09,1.94411634602397,44018,7,191,1970.51860730594,1447,1970,"A",13,0.664807553025142,3.06060914570325,NA
1970-07-10,3.19005758624577,44019,7,192,1970.52134703196,1447,1970,"A",14,1.16003896874848,3.17387653117796,NA
1970-07-11,45.8918619102112,44020,7,193,1970.52408675799,1447,1970,"A",15,3.82628780091579,9.28222481927836,NA
1970-07-12,96.5790169101437,44021,7,194,1970.52682648402,1447,1970,"A",16,4.57036150137251,22.2675215112004,NA
1970-07-13,115.834472440844,44022,7,195,1970.52956621005,1447,1970,"A",17,4.75216221031006,38.2827207645709,NA
1970-07-14,68.2621705414663,44023,7,196,1970.53230593607,1447,1970,"A",18,4.22335574111931,47.7000948140396,NA
1970-07-15,10.0427344074657,44024,7,197,1970.5350456621,1447,1970,"A",19,2.30684942852389,48.8206328774859,NA
1970-07-16,5.73857375942673,44025,7,198,1970.53778538813,1447,1970,"A",20,1.74721070548924,49.3626982222577,NA
1970-07-17,4.86075152199774,44026,7,199,1970.54052511416,1447,1970,"A",21,1.58119306011369,49.601368784508,NA
1970-07-18,4.09619667004345,44027,7,200,1970.54326484018,1447,1970,"A",22,1.41005890173184,43.630559464484,NA
1970-07-19,3.44490920356387,44028,7,201,1970.54600456621,1447,1970,"A",23,1.23689754811361,30.3256869349726,NA
1970-07-20,3.24669127898313,44029,7,202,1970.54874429224,1447,1970,"A",24,1.17763640975322,14.2417181975638,NA
1970-07-21,3.50154289630122,44030,7,203,1970.55148401826,1447,1970,"A",25,1.2532036988741,4.99019996254026,NA
1970-07-22,4.43599882646758,44031,7,204,1970.55422374429,1447,1970,"A",26,1.48975280494065,4.18923773668339,NA
1970-07-23,4.83243467562906,44032,7,205,1970.55696347032,1447,1970,"A",27,1.57535041429125,4.05978929614086,NA
1970-07-24,5.05896944657848,44033,7,206,1970.55970319635,1447,1970,"A",28,1.6211627958724,4.08810614250954,NA
1970-07-25,5.20055367842186,44034,7,207,1970.56244292237,1447,1970,"A",29,1.64876509653874,4.24587142942074,NA
1970-07-26,4.49263251920493,44035,7,208,1970.5651826484,1447,1970,"A",30,1.50243883711586,4.39554618879804,14.2270204058773
1970-07-27,4.94570206110377,44036,7,209,1970.56792237443,1447,1970,"A",31,1.59851892893136,4.63826201481527,14.3232976835308
1970-07-28,4.06787982367477,44037,7,210,1970.57066210046,1447,1970,"A",32,1.40312193588042,4.71916729015435,14.2874296781304
1970-07-29,4.4076819800989,44038,7,211,1970.57340182648,1447,1970,"A",33,1.48334892317239,4.71512202638739,14.339343896473
1970-07-30,3.69976082088197,44039,7,212,1970.57614155251,1447,1970,"A",34,1.30826817455586,4.55331147570924,14.3978653789683
1970-07-31,4.43599882646758,44040,7,213,1970.57888127854,1447,1970,"A",35,1.48975280494065,4.46431567283625,14.46865749489
1970-08-01,4.97401890747245,44041,8,214,1970.58162100457,1448,1970,"A",36,1.60422814663503,4.43195356270062,14.5554958237539
1970-08-02,3.92629559183138,44042,8,215,1970.58436073059,1448,1970,"A",37,1.36769638385841,4.35104828736154,14.6064661472175
1970-08-03,2.82193858345297,44043,8,216,1970.58710045662,1448,1970,"A",38,1.0374240897115,4.04765350484,14.596083303549
1970-08-04,2.85025542982164,44044,8,217,1970.58984018265,1448,1970,"A",39,1.04740861476335,3.87370716286098,14.5016938156534
1970-08-05,1.71758157507455,44045,8,218,1970.59257990868,1448,1970,"A",40,0.540917240390845,3.48940710500036,14.4346772792476
1970-08-06,1.49104680412513,44046,8,219,1970.5953196347,1448,1970,"A",41,0.399478426386579,3.17387653117796,14.4063604328789
1970-08-07,1.54768049686249,44047,8,220,1970.59805936073,1448,1970,"A",42,0.436757356489011,2.76125962694866,14.3846508506629
1970-08-08,2.34055219518545,44048,8,221,1970.60079908676,1448,1970,"A",43,0.850386882378993,2.38505009662194,14.3978653789683
1970-08-09,3.72807766725064,44049,8,222,1970.60353881279,1448,1970,"A",44,1.31589273009631,2.35673325025327,14.4157993816684
1970-08-10,3.92629559183138,44050,8,223,1970.60627853881,1448,1970,"A",45,1.36769638385841,2.51449853716447,13.0169471710558
1970-08-11,7.06946553875457,44051,8,224,1970.60901826484,1448,1970,"A",46,1.955784881401,3.1172428384406,10.0332954586761
1970-08-12,14.0354097454492,44052,8,225,1970.61175799087,1448,1970,"A",47,2.64158340393341,4.87693257706555,6.63999336882963
1970-08-13,8.82511001361257,44053,8,226,1970.61449771689,1448,1970,"A",48,2.17760106887339,5.92465589270661,4.65875801790117
1970-08-14,4.83243467562906,44054,8,227,1970.61723744292,1448,1970,"A",49,1.57535041429125,6.39390648967327,4.48508136017328
1970-08-15,4.23778090188683,44055,8,228,1970.61997716895,1448,1970,"A",50,1.44403976004033,6.66493916205918,4.43505493158862
1970-08-16,3.64312712814461,44056,8,229,1970.62271689498,1448,1970,"A",51,1.29284241397111,6.65280337075832,4.39446745179351
1970-08-17,3.13342389350842,44057,8,230,1970.625456621,1448,1970,"A",52,1.14212630237373,6.53953598528361,4.36237502590901
1970-08-18,3.30332497172048,44058,8,231,1970.62819634703,1448,1970,"A",53,1.19492952840534,6.00151590427874,4.35765555151423
1970-08-19,2.6520375052409,44059,8,232,1970.63093607306,1448,1970,"A",54,0.975328214471316,4.37531986996327,4.33783375905616
1970-08-20,4.74748413652303,44060,8,233,1970.63367579909,1448,1970,"A",55,1.55761482226071,3.7928018875219,4.37936513373022
1970-08-21,2.93520596892768,44061,8,234,1970.63641552511,1448,1970,"A",56,1.07677762762449,3.52176921513599,4.32933870514556
1970-08-22,2.31223534881677,44062,8,235,1970.63915525114,1448,1970,"A",57,0.838214740100349,3.24669127898313,4.24533206091848
1970-08-23,3.10510704713974,44063,8,236,1970.64189497717,1448,1970,"A",58,1.13304819052055,3.169831267411,4.18020331427052
