"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","Qualifier","i","LogQ","Q7","Q30"
1939-10-01,1.4201775330214,32779,10,275,1939.74874429224,1078,1940,"A",1,0.350781887052923,NA,NA
1939-10-02,4.25186216988914,32780,10,276,1939.75148401826,1078,1940,"A",2,1.44735704459428,NA,NA
1939-10-03,1.13700906933463,32781,10,277,1939.75422374429,1078,1940,"A",3,0.128401191284195,NA,NA
1939-10-04,0.853840605647857,32782,10,278,1939.75696347032,1078,1940,"A",4,-0.158010747054257,NA,NA
1939-10-05,0.683939527435793,32783,10,279,1939.75970319635,1078,1940,"A",5,-0.379885775449587,NA,NA
1939-10-06,0.627305834698438,32784,10,280,1939.76244292237,1078,1940,"A",6,-0.466321082633938,NA,NA
1939-10-07,0.570672141961083,32785,10,281,1939.7651826484,1078,1940,"A",7,-0.560940416436614,1.36354384028405,NA
1939-10-08,0.514038449223728,32786,10,282,1939.76792237443,1078,1940,"A",8,-0.665457212387432,1.23409539974152,NA
1939-10-09,0.485721602855051,32787,10,283,1939.77066210046,1078,1940,"A",9,-0.722119652845093,0.696075318736654,NA
1939-10-10,0.485721602855051,32788,10,284,1939.77340182648,1078,1940,"A",10,-0.722119652845093,0.603034252096714,NA
1939-10-11,0.485721602855051,32789,10,285,1939.77614155251,1078,1940,"A",11,-0.722119652845093,0.550445823126314,NA
1939-10-12,0.570672141961083,32790,10,286,1939.77888127854,1078,1940,"A",12,-0.560940416436614,0.534264768058498,NA
1939-10-13,0.71225637380447,32791,10,287,1939.78162100457,1078,1940,"A",13,-0.339317356813735,0.54640055935936,NA
1939-10-14,0.570672141961083,32792,10,288,1939.78436073059,1078,1940,"A",14,-0.560940416436614,0.54640055935936,NA
1939-10-15,0.485721602855051,32793,10,289,1939.78710045662,1078,1940,"A",15,-0.722119652845093,0.542355295592406,NA
1939-10-16,0.457404756486374,32794,10,290,1939.78984018265,1078,1940,"A",16,-0.782186598483,0.538310031825452,NA
1939-10-17,0.429087910117696,32795,10,291,1939.79257990868,1078,1940,"A",17,-0.846093462357818,0.530219504291544,NA
1939-10-18,0.429087910117696,32796,10,292,1939.7953196347,1078,1940,"A",18,-0.846093462357818,0.522128976757636,NA
1939-10-19,0.400771063749019,32797,10,293,1939.79805936073,1078,1940,"A",19,-0.914364928052738,0.497857394155913,NA
1939-10-20,0.400771063749019,32798,10,294,1939.80079908676,1078,1940,"A",20,-0.914364928052738,0.45335949271942,NA
1939-10-21,0.400771063749019,32799,10,295,1939.80353881279,1078,1940,"A",21,-0.914364928052738,0.429087910117696,NA
1939-10-22,0.400771063749019,32800,10,296,1939.80627853881,1078,1940,"A",22,-0.914364928052738,0.416952118816835,NA
1939-10-23,0.400771063749019,32801,10,297,1939.80901826484,1078,1940,"A",23,-0.914364928052738,0.408861591282927,NA
1939-10-24,0.372454217380342,32802,10,298,1939.81175799087,1078,1940,"A",24,-0.987641155077627,0.400771063749019,NA
1939-10-25,0.372454217380342,32803,10,299,1939.81449771689,1078,1940,"A",25,-0.987641155077627,0.392680536215111,NA
1939-10-26,0.372454217380342,32804,10,300,1939.81723744292,1078,1940,"A",26,-0.987641155077627,0.388635272448157,NA
1939-10-27,0.372454217380342,32805,10,301,1939.81997716895,1078,1940,"A",27,-0.987641155077627,0.384590008681203,NA
1939-10-28,0.372454217380342,32806,10,302,1939.82271689498,1078,1940,"A",28,-0.987641155077627,0.380544744914249,NA
1939-10-29,0.372454217380342,32807,10,303,1939.825456621,1078,1940,"A",29,-0.987641155077627,0.376499481147296,NA
1939-10-30,0.372454217380342,32808,10,304,1939.82819634703,1078,1940,"A",30,-0.987641155077627,0.372454217380342,0.659398260582939
1939-10-31,0.570672141961083,32809,10,305,1939.83093607306,1078,1940,"A",31,-0.560940416436614,0.400771063749019,0.631081414214262
1939-11-01,1.70334599670818,32810,11,306,1939.83367579909,1079,1940,"A",32,0.532594549986508,0.590898460795853,0.546130875108229
1939-11-02,0.995424837491243,32811,11,307,1939.83641552511,1079,1940,"A",33,-0.00458566059729277,0.679894263668839,0.54141140071345
1939-11-03,0.71225637380447,32812,11,308,1939.83915525114,1079,1940,"A",34,-0.339317356813735,0.728437428872285,0.53669192631867
1939-11-04,0.71225637380447,32813,11,309,1939.84189497717,1079,1940,"A",35,-0.339317356813735,0.776980594075732,0.537635821197626
1939-11-05,0.995424837491243,32814,11,310,1939.8446347032,1079,1940,"A",36,-0.00458566059729277,0.865976396948718,0.549906454624053
1939-11-06,1.4201775330214,32815,11,311,1939.84737442922,1079,1940,"A",37,0.350781887052923,1.01565115632601,0.578223300992731
1939-11-07,0.995424837491243,32816,11,312,1939.85011415525,1079,1940,"A",38,-0.00458566059729277,1.07633011283032,0.594269513934981
1939-11-08,0.683939527435793,32817,11,313,1939.85285388128,1079,1940,"A",39,-0.379885775449587,0.930700617219981,0.600876778087672
1939-11-09,0.768890066541825,32818,11,314,1939.85559360731,1079,1940,"A",40,-0.262807276078273,0.89833850708435,0.610315726877232
1939-11-10,0.542355295592406,32819,11,315,1939.85833333333,1079,1940,"A",41,-0.611833965383156,0.874066924482626,0.612203516635143
1939-11-11,0.514038449223728,32820,11,316,1939.86107305936,1079,1940,"A",42,-0.665457212387432,0.845750078113949,0.610315726877231
1939-11-12,0.570672141961083,32821,11,317,1939.86381278539,1079,1940,"A",43,-0.560940416436614,0.78507112160964,0.605596252482452
1939-11-13,0.429087910117696,32822,11,318,1939.86655251142,1079,1940,"A",44,-0.846093462357818,0.643486889766253,0.600876778087672
1939-11-14,0.485721602855051,32823,11,319,1939.86929223744,1079,1940,"A",45,-0.722119652845093,0.570672141961083,0.600876778087672
1939-11-15,0.485721602855051,32824,11,320,1939.87203196347,1079,1940,"A",46,-0.722119652845093,0.542355295592406,0.601820672966628
1939-11-16,0.429087910117696,32825,11,321,1939.8747716895,1079,1940,"A",47,-0.846093462357818,0.493812130388959,0.601820672966628
