"agency_cd","site_no","Date","X_00065_00003","X_00065_00003_cd"
"USGS","02087275",1997-09-30,4.81,"A"
"USGS","02087275",1997-10-01,4.72,"A"
"USGS","02087275",1997-10-02,4.63,"A"
"USGS","02087275",1997-10-03,4.56,"A"
"USGS","02087275",1997-10-04,4.52,"A"
"USGS","02087275",1997-10-05,4.5,"A"
"USGS","02087275",1997-10-06,4.48,"A"
"USGS","02087275",1997-10-07,4.46,"A"
"USGS","02087275",1997-10-08,4.45,"A"
"USGS","02087275",1997-10-09,4.44,"A"
"USGS","02087275",1997-10-10,4.44,"A"
"USGS","02087275",1997-10-11,4.44,"A"
"USGS","02087275",1997-10-12,4.43,"A"
"USGS","02087275",1997-10-13,4.43,"A"
"USGS","02087275",1997-10-14,4.43,"A"
"USGS","02087275",1997-10-15,5.42,"A"
"USGS","02087275",1997-10-16,4.86,"A"
"USGS","02087275",1997-10-17,4.74,"A"
"USGS","02087275",1997-10-18,4.66,"A"
"USGS","02087275",1997-10-19,6.69,"A"
"USGS","02087275",1997-10-20,6.35,"A"
"USGS","02087275",1997-10-21,5.61,"A"
"USGS","02087275",1997-10-22,5.38,"A"
"USGS","02087275",1997-10-23,5.19,"A"
"USGS","02087275",1997-10-24,5.12,"A"
"USGS","02087275",1997-10-25,5.11,"A"
"USGS","02087275",1997-10-26,5.2,"A"
"USGS","02087275",1997-10-27,5.28,"A"
"USGS","02087275",1997-10-28,5.11,"A"
"USGS","02087275",1997-10-29,4.94,"A"
"USGS","02087275",1997-10-30,4.84,"A"
"USGS","02087275",1997-10-31,4.79,"A"
"USGS","02087275",1997-11-01,4.96,"A"
"USGS","02087275",1997-11-02,5.11,"A"
"USGS","02087275",1997-11-03,4.99,"A"
"USGS","02087275",1997-11-04,4.86,"A"
"USGS","02087275",1997-11-05,4.77,"A"
"USGS","02087275",1997-11-06,4.71,"A"
"USGS","02087275",1997-11-07,4.71,"A"
"USGS","02087275",1997-11-08,4.71,"A"
"USGS","02087275",1997-11-09,4.69,"A"
"USGS","02087275",1997-11-10,4.66,"A"
"USGS","02087275",1997-11-11,4.63,"A"
"USGS","02087275",1997-11-12,4.65,"A"
"USGS","02087275",1997-11-13,5.72,"A"
"USGS","02087275",1997-11-14,7.56,"A"
"USGS","02087275",1997-11-15,6.36,"A"
"USGS","02087275",1997-11-16,5.83,"A"
"USGS","02087275",1997-11-17,5.56,"A"
"USGS","02087275",1997-11-18,5.39,"A"
"USGS","02087275",1997-11-19,5.2,"A"
"USGS","02087275",1997-11-20,5.05,"A"
"USGS","02087275",1997-11-21,5.03,"A"
"USGS","02087275",1997-11-22,6.62,"A"
"USGS","02087275",1997-11-23,6,"A"
"USGS","02087275",1997-11-24,5.71,"A"
"USGS","02087275",1997-11-25,5.59,"A"
"USGS","02087275",1997-11-26,5.53,"A"
"USGS","02087275",1997-11-27,5.36,"A"
"USGS","02087275",1997-11-28,5.17,"A"
"USGS","02087275",1997-11-29,5.06,"A"
"USGS","02087275",1997-11-30,5.49,"A"
"USGS","02087275",1997-12-01,5.7,"A"
"USGS","02087275",1997-12-02,5.41,"A"
"USGS","02087275",1997-12-03,5.23,"A"
"USGS","02087275",1997-12-04,5.17,"A"
"USGS","02087275",1997-12-05,5.08,"A"
"USGS","02087275",1997-12-06,4.94,"A"
"USGS","02087275",1997-12-07,4.87,"A"
"USGS","02087275",1997-12-08,4.82,"A"
"USGS","02087275",1997-12-09,4.81,"A"
"USGS","02087275",1997-12-10,5.16,"A"
"USGS","02087275",1997-12-11,5.38,"A"
"USGS","02087275",1997-12-12,5.16,"A"
"USGS","02087275",1997-12-13,5.04,"A"
"USGS","02087275",1997-12-14,4.96,"A"
"USGS","02087275",1997-12-15,4.91,"A"
"USGS","02087275",1997-12-16,4.85,"A"
"USGS","02087275",1997-12-17,4.83,"A"
"USGS","02087275",1997-12-18,4.8,"A"
"USGS","02087275",1997-12-19,4.79,"A"
