"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","Qualifier","i","LogQ","Q7","Q30"
1939-10-01,1.42017460370208,32779,10,275,1939.74874429224,1078,1940,"A",1,0.350779824407742,NA,NA
1939-10-02,4.25185924056981,32780,10,276,1939.75148401826,1078,1940,"A",2,1.4473563556443,NA,NA
1939-10-03,1.13700614001531,32781,10,277,1939.75422374429,1078,1940,"A",3,0.128398614943181,NA,NA
1939-10-04,0.853837676328532,32782,10,278,1939.75696347032,1078,1940,"A",4,-0.158014177816779,NA,NA
1939-10-05,0.683936598116468,32783,10,279,1939.75970319635,1078,1940,"A",5,-0.379890058468012,NA,NA
1939-10-06,0.627302905379113,32784,10,280,1939.76244292237,1078,1940,"A",6,-0.466325752327734,NA,NA
1939-10-07,0.570669212641759,32785,10,281,1939.7651826484,1078,1940,"A",7,-0.56094554955356,1.36354091096472,NA
1939-10-08,0.514035519904404,32786,10,282,1939.76792237443,1078,1940,"A",8,-0.665462911042223,1.2340924704222,NA
1939-10-09,0.485718673535727,32787,10,283,1939.77066210046,1078,1940,"A",9,-0.722125683723976,0.69607238941733,NA
1939-10-10,0.485718673535727,32788,10,284,1939.77340182648,1078,1940,"A",10,-0.722125683723976,0.60303132277739,NA
1939-10-11,0.485718673535727,32789,10,285,1939.77614155251,1078,1940,"A",11,-0.722125683723976,0.550442893806989,NA
1939-10-12,0.570669212641759,32790,10,286,1939.77888127854,1078,1940,"A",12,-0.56094554955356,0.534261838739173,NA
1939-10-13,0.712253444485145,32791,10,287,1939.78162100457,1078,1940,"A",13,-0.339321469553833,0.546397630040035,NA
1939-10-14,0.570669212641759,32792,10,288,1939.78436073059,1078,1940,"A",14,-0.56094554955356,0.546397630040035,NA
1939-10-15,0.485718673535727,32793,10,289,1939.78710045662,1078,1940,"A",15,-0.722125683723976,0.542352366273081,NA
1939-10-16,0.457401827167049,32794,10,290,1939.78984018265,1078,1940,"A",16,-0.782193002720523,0.538307102506127,NA
1939-10-17,0.429084980798372,32795,10,291,1939.79257990868,1078,1940,"A",17,-0.846100289232345,0.53021657497222,NA
1939-10-18,0.429084980798372,32796,10,292,1939.7953196347,1078,1940,"A",18,-0.846100289232345,0.522126047438312,NA
1939-10-19,0.400768134429695,32797,10,293,1939.79805936073,1078,1940,"A",19,-0.914372237288097,0.497854464836588,NA
