"agency_cd","site_no","Date","X_00065_00003","X_00065_00003_cd"
"USGS","02081500",1997-10-01,1.32,"A"
"USGS","02081500",1997-10-02,1.3,"A"
"USGS","02081500",1997-10-03,1.3,"A"
"USGS","02081500",1997-10-04,1.29,"A"
"USGS","02081500",1997-10-05,1.29,"A"
"USGS","02081500",1997-10-06,1.29,"A"
"USGS","02081500",1997-10-07,1.29,"A"
"USGS","02081500",1997-10-08,1.3,"A"
"USGS","02081500",1997-10-09,1.29,"A"
"USGS","02081500",1997-10-10,1.28,"A"
"USGS","02081500",1997-10-11,1.29,"A"
"USGS","02081500",1997-10-12,1.29,"A"
"USGS","02081500",1997-10-13,1.28,"A"
"USGS","02081500",1997-10-14,1.28,"A"
"USGS","02081500",1997-10-15,1.31,"A"
"USGS","02081500",1997-10-16,1.29,"A"
"USGS","02081500",1997-10-17,1.3,"A"
"USGS","02081500",1997-10-18,1.29,"A"
"USGS","02081500",1997-10-19,1.32,"A"
"USGS","02081500",1997-10-20,1.37,"A"
"USGS","02081500",1997-10-21,1.34,"A"
"USGS","02081500",1997-10-22,1.36,"A"
"USGS","02081500",1997-10-23,1.32,"A"
"USGS","02081500",1997-10-24,1.31,"A"
"USGS","02081500",1997-10-25,1.33,"A"
"USGS","02081500",1997-10-26,1.35,"A"
"USGS","02081500",1997-10-27,1.42,"A"
"USGS","02081500",1997-10-28,1.38,"A"
"USGS","02081500",1997-10-29,1.4,"A"
"USGS","02081500",1997-10-30,1.49,"A"
"USGS","02081500",1997-10-31,1.45,"A"
"USGS","02081500",1997-11-01,1.5,"A"
"USGS","02081500",1997-11-02,1.49,"A"
"USGS","02081500",1997-11-03,1.47,"A"
"USGS","02081500",1997-11-04,1.52,"A"
"USGS","02081500",1997-11-05,1.49,"A"
"USGS","02081500",1997-11-06,1.47,"A"
"USGS","02081500",1997-11-07,1.51,"A"
"USGS","02081500",1997-11-08,1.52,"A"
"USGS","02081500",1997-11-09,1.5,"A"
"USGS","02081500",1997-11-10,1.54,"A"
"USGS","02081500",1997-11-11,1.53,"A"
"USGS","02081500",1997-11-12,1.49,"A"
"USGS","02081500",1997-11-13,1.53,"A"
"USGS","02081500",1997-11-14,2.2,"A"
"USGS","02081500",1997-11-15,2.82,"A"
"USGS","02081500",1997-11-16,2.45,"A"
"USGS","02081500",1997-11-17,2.07,"A"
"USGS","02081500",1997-11-18,1.85,"A"
"USGS","02081500",1997-11-19,1.7,"A"
"USGS","02081500",1997-11-20,1.66,"A"
"USGS","02081500",1997-11-21,1.63,"A"
"USGS","02081500",1997-11-22,3.26,"A"
"USGS","02081500",1997-11-23,3.29,"A"
"USGS","02081500",1997-11-24,2.7,"A"
"USGS","02081500",1997-11-25,2.42,"A"
"USGS","02081500",1997-11-26,2.16,"A"
"USGS","02081500",1997-11-27,2.04,"A"
"USGS","02081500",1997-11-28,1.89,"A"
"USGS","02081500",1997-11-29,1.82,"A"
"USGS","02081500",1997-11-30,1.81,"A"
"USGS","02081500",1997-12-01,1.91,"A"
"USGS","02081500",1997-12-02,1.99,"A"
"USGS","02081500",1997-12-03,2.08,"A"
"USGS","02081500",1997-12-04,2.04,"A"
"USGS","02081500",1997-12-05,1.96,"A"
"USGS","02081500",1997-12-06,1.9,"A"
"USGS","02081500",1997-12-07,1.83,"A"
"USGS","02081500",1997-12-08,1.78,"A"
"USGS","02081500",1997-12-09,1.75,"A"
"USGS","02081500",1997-12-10,1.78,"A"
"USGS","02081500",1997-12-11,1.89,"A"
"USGS","02081500",1997-12-12,1.92,"A"
"USGS","02081500",1997-12-13,1.92,"A"
"USGS","02081500",1997-12-14,1.92,"A"
"USGS","02081500",1997-12-15,1.86,"A"
"USGS","02081500",1997-12-16,1.81,"A"
"USGS","02081500",1997-12-17,1.76,"A"
"USGS","02081500",1997-12-18,1.74,"A"
"USGS","02081500",1997-12-19,1.72,"A"
"USGS","02081500",1997-12-20,1.7,"A"
"USGS","02081500",1997-12-21,1.68,"A"
"USGS","02081500",1997-12-22,1.76,"A"
"USGS","02081500",1997-12-23,2.23,"A"
"USGS","02081500",1997-12-24,2.43,"A"
"USGS","02081500",1997-12-25,2.65,"A"
"USGS","02081500",1997-12-26,2.8,"A"
"USGS","02081500",1997-12-27,2.73,"A"
"USGS","02081500",1997-12-28,3.49,"A"
"USGS","02081500",1997-12-29,3.06,"A"
"USGS","02081500",1997-12-30,2.87,"A"
"USGS","02081500",1997-12-31,2.82,"A"
"USGS","02081500",1998-01-01,2.69,"A"
"USGS","02081500",1998-01-02,2.54,"A"
"USGS","02081500",1998-01-03,2.42,"A"
"USGS","02081500",1998-01-04,2.31,"A"
"USGS","02081500",1998-01-05,2.22,"A"
"USGS","02081500",1998-01-06,2.16,"A"
"USGS","02081500",1998-01-07,2.14,"A"
